nm,n,k ,,,nm
0.857,3.84197256,0.018368587,,,857
0.858,3.84118396,0.018291765,,,858
0.859,3.8403987,0.0182154,,,859
0.86,3.83961677,0.01813949,,,860
0.861,3.83883815,0.018064032,,,861
0.862,3.83806283,0.017989026,,,862
0.863,3.83729079,0.017914468,,,863
0.864,3.83652201,0.017840354,,,864
0.865,3.83575648,0.01776668,,,865
0.866,3.83499419,0.017693439,,,866
0.867,3.83423512,0.017620628,,,867
0.868,3.83347925,0.017548244,,,868
0.869,3.83272658,0.017476285,,,869
0.87,3.83197708,0.017404749,,,870
0.871,3.83123074,0.017333634,,,871
0.872,3.83048755,0.017262938,,,872
0.873,3.82974748,0.017192658,,,873
0.874,3.82901053,0.017122793,,,874
0.875,3.82827669,0.01705334,,,875
0.876,3.82754593,0.016984298,,,876
0.877,3.82681824,0.016915665,,,877
0.878,3.82609358,0.016847433,,,878
0.879,3.82537192,0.016779596,,,879
0.88,3.82465323,0.016712152,,,880
0.881,3.82393746,0.016645091,,,881
0.882,3.82322459,0.01657841,,,882
0.883,3.8225146,0.016512108,,,883
0.884,3.82180749,0.016446183,,,884
0.885,3.82110325,0.016380633,,,885
0.886,3.82040185,0.016315455,,,886
